@relation Shots

@attribute angle numeric
@attribute velocity numeric
@attribute level numeric
@attribute score numeric
@attribute heuristic string
@attribute birdOnSling {RedBird,BlackBird,BlueBird,YellowBird,WhiteBird}
@attribute targetType {Pig,Stone,Ice,Wood}
@attribute label {WON,LOST}

@data
46.57029,2.786865,16,10680,BuildingHeuristic,YellowBird,Wood,LOST
76.394397,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
58.747104,2.7537,16,1100,BuildingHeuristic,YellowBird,Wood,LOST
73.32426,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
76.667216,2.74365,16,-1,BuildingHeuristic,YellowBird,Wood,LOST
73.120211,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
54.100504,2.758725,16,13790,BuildingHeuristic,YellowBird,Wood,LOST
75.334806,2.74365,16,4250,BuildingHeuristic,YellowBird,Wood,LOST
76.120623,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
51.28189,2.776815,16,-1,BuildingHeuristic,YellowBird,Wood,LOST
67.619865,2.748675,16,0,BuildingHeuristic,YellowBird,Wood,LOST
55.074975,2.758725,16,2200,BuildingHeuristic,YellowBird,Wood,LOST
74.702113,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
77.017443,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
51.847991,2.776815,16,-1,BuildingHeuristic,YellowBird,Wood,LOST
54.281713,2.758725,16,5820,BuildingHeuristic,YellowBird,Wood,LOST
77.871612,2.74365,16,1000,BuildingHeuristic,YellowBird,Wood,LOST
46.367181,2.786865,16,9230,BuildingHeuristic,YellowBird,Wood,LOST
49.675,2.776815,16,11280,BuildingHeuristic,YellowBird,Wood,LOST
76.491723,2.74365,16,-1,BuildingHeuristic,YellowBird,Wood,LOST
78.486169,2.74365,16,2300,BuildingHeuristic,YellowBird,Wood,LOST
78.218637,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
53.662303,2.758725,16,12820,BuildingHeuristic,YellowBird,Wood,LOST
74.702113,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
74.166444,2.74365,16,-1,BuildingHeuristic,YellowBird,Wood,LOST
78.486169,2.74365,16,11110,BuildingHeuristic,YellowBird,Wood,LOST
56.708679,2.758725,16,0,BuildingHeuristic,YellowBird,Wood,LOST
74.780535,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
54.948405,2.758725,16,2310,BuildingHeuristic,YellowBird,Wood,LOST
47.642545,2.786865,16,-1,BuildingHeuristic,YellowBird,Wood,LOST
62.777295,2.7537,16,0,BuildingHeuristic,YellowBird,Wood,LOST
52.66805,2.776815,16,10460,BuildingHeuristic,YellowBird,Wood,LOST
71.225098,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
57.377741,2.758725,16,1100,BuildingHeuristic,YellowBird,Wood,LOST
71.225098,2.74365,16,-1,BuildingHeuristic,YellowBird,Wood,LOST
71.225098,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
51.79053,2.776815,16,10490,BuildingHeuristic,YellowBird,Wood,LOST
74.065799,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
76.667216,2.74365,16,1100,BuildingHeuristic,YellowBird,Wood,LOST
56.833053,2.758725,16,-1,BuildingHeuristic,YellowBird,Wood,LOST
78.486169,2.74365,16,11110,BuildingHeuristic,YellowBird,Wood,LOST
53.972627,2.758725,16,10390,BuildingHeuristic,YellowBird,Wood,LOST
72.963495,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
51.529142,2.776815,16,5920,BuildingHeuristic,YellowBird,Wood,LOST
50.386817,2.776815,16,-1,BuildingHeuristic,YellowBird,Wood,LOST
73.785507,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
57.501354,2.758725,16,1100,BuildingHeuristic,YellowBird,Wood,LOST
50.44662,2.776815,16,10060,BuildingHeuristic,YellowBird,Wood,LOST
56.957315,2.758725,16,1100,BuildingHeuristic,YellowBird,Wood,LOST
78.658724,2.74365,16,3500,BuildingHeuristic,YellowBird,Wood,LOST
77.793173,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
50.44662,2.776815,16,16590,BuildingHeuristic,YellowBird,Wood,LOST
56.109686,2.758725,16,0,BuildingHeuristic,YellowBird,Wood,LOST
54.589552,2.758725,16,3500,BuildingHeuristic,YellowBird,Wood,LOST
52.66805,2.776815,16,-1,BuildingHeuristic,YellowBird,Wood,LOST
49.807954,2.776815,16,16550,BuildingHeuristic,YellowBird,Wood,LOST
53.844659,2.758725,16,5460,BuildingHeuristic,YellowBird,Wood,LOST
51.41305,2.776815,16,4190,BuildingHeuristic,YellowBird,Wood,LOST
46.300398,2.786865,16,9300,BuildingHeuristic,YellowBird,Wood,LOST
74.880231,2.74365,16,-1,BuildingHeuristic,YellowBird,Wood,LOST
75.963757,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
50.578636,2.776815,16,10940,BuildingHeuristic,YellowBird,Wood,LOST
51.150664,2.776815,16,8190,BuildingHeuristic,YellowBird,Wood,LOST
74.244806,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
45.206843,2.786865,16,-1,BuildingHeuristic,YellowBird,Wood,LOST
58.08904,2.758725,16,0,BuildingHeuristic,YellowBird,Wood,LOST
59.036243,2.7537,16,0,BuildingHeuristic,YellowBird,Wood,LOST
73.504348,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
51.092033,2.776815,16,17290,BuildingHeuristic,YellowBird,Wood,LOST
51.340192,2.776815,16,-1,BuildingHeuristic,YellowBird,Wood,LOST
73.785507,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
78.234975,2.74365,16,1100,BuildingHeuristic,YellowBird,Wood,LOST
50.578636,2.776815,16,9800,BuildingHeuristic,YellowBird,Wood,LOST
74.979728,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
54.100504,2.758725,16,12070,BuildingHeuristic,YellowBird,Wood,LOST
74.801849,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
58.990638,2.7537,16,0,BuildingHeuristic,YellowBird,Wood,LOST
53.166937,2.758725,16,12460,BuildingHeuristic,YellowBird,Wood,LOST
75.413231,2.74365,16,9180,BuildingHeuristic,YellowBird,Wood,LOST
51.340192,2.776815,16,-1,BuildingHeuristic,YellowBird,Wood,LOST
62.893709,2.7537,16,0,BuildingHeuristic,YellowBird,Wood,LOST
60.689993,2.7537,16,0,BuildingHeuristic,YellowBird,Wood,LOST
76.570142,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
50.386817,2.776815,16,4130,BuildingHeuristic,YellowBird,Wood,LOST
52.853313,2.776815,16,-1,BuildingHeuristic,YellowBird,Wood,LOST
77.445046,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
77.714781,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
58.041891,2.758725,16,0,BuildingHeuristic,YellowBird,Wood,LOST
72.371248,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
78.140221,2.74365,16,-1,BuildingHeuristic,YellowBird,Wood,LOST
67.399604,2.748675,16,0,BuildingHeuristic,YellowBird,Wood,LOST
74.065799,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
49.285818,2.776815,16,12570,BuildingHeuristic,YellowBird,Wood,LOST
75.511999,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
78.313334,2.74365,16,-1,BuildingHeuristic,YellowBird,Wood,LOST
78.313334,2.74365,16,2300,BuildingHeuristic,YellowBird,Wood,LOST
50.829027,2.776815,16,11330,BuildingHeuristic,YellowBird,Wood,LOST
78.830997,2.74365,16,7270,BuildingHeuristic,YellowBird,Wood,LOST
75.590435,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
50.960562,2.776815,16,-1,BuildingHeuristic,YellowBird,Wood,LOST
74.323229,2.74365,16,0,BuildingHeuristic,YellowBird,Wood,LOST
67.399604,2.748675,16,0,BuildingHeuristic,YellowBird,Wood,LOST
