@relation Shots

@attribute angle numeric
@attribute velocity numeric
@attribute level numeric
@attribute score numeric
@attribute heuristic string
@attribute birdOnSling {RedBird,BlackBird,BlueBird,YellowBird,WhiteBird}
@attribute targetType {Pig,Stone,Ice,Wood}
@attribute label {WON,LOST}

@data
84.133565,2.74365,1,9390,BuildingHeuristic,RedBird,Wood,WON
82.798623,2.74365,1,1360,BuildingHeuristic,RedBird,Wood,WON
50.721738,2.776815,1,17210,BuildingHeuristic,RedBird,Wood,WON
83.146365,2.74365,1,8270,BuildingHeuristic,RedBird,Stone,WON
34.224392,2.814,1,10060,BuildingHeuristic,RedBird,Wood,WON
34.224392,2.814,1,10030,BuildingHeuristic,RedBird,Wood,WON
34.030242,2.814,1,28830,BuildingHeuristic,RedBird,Wood,WON
40.65601,2.80395,1,29570,BuildingHeuristic,RedBird,Wood,WON
34.224392,2.814,1,10040,BuildingHeuristic,RedBird,Wood,WON
34.224392,2.814,1,10050,BuildingHeuristic,RedBird,Wood,WON
39.044427,2.80395,1,30760,BuildingHeuristic,RedBird,Wood,WON
30.764548,2.82405,1,1130,BuildingHeuristic,RedBird,Wood,WON
34.296735,2.814,1,17780,BuildingHeuristic,RedBird,Wood,WON
39.044427,2.80395,1,30790,BuildingHeuristic,RedBird,Wood,WON
78.462479,2.74365,1,0,BuildingHeuristic,YellowBird,Pig,LOST
40.046743,2.80395,1,4190,BuildingHeuristic,YellowBird,Pig,LOST
42.439953,2.80395,1,2580,BuildingHeuristic,YellowBird,Pig,LOST
40.309963,2.80395,1,5570,BuildingHeuristic,YellowBird,Pig,LOST
40.046743,2.80395,1,-1,BuildingHeuristic,YellowBird,Pig,LOST
